review_id,user_id,restaurant_id,review_text,rating,timestamp
89,89,9,"Salah satu tempat dimsum paling enak di Jakarta, nggak mahal dan dikasih saus soya yg enak banget di campur saus cabenya. Cabangnya sudah ada beberapa tapi ini yang pertama. Makanya namanya jadi Dimsum Pertok",3.0,02/07/25 07.27
90,90,9,"Dimsumnya enak. Tapi mas2nya kebiasaan nih, orang mesen dimsum ayam tapi dikasihnya kombinasi, saya ga sekali doang kaya gini. Padahal banyak orang yang ga suka seafood kayak udang dan cumi",3.0,22/02/25 00.22
91,91,10,"Waiting listnya ada banget tiap saat. Kalau pas pagi menjelang siang ngga serame itu sih, tapi pas siang sampai malem pasti waiting list. Secara harga oke lah, nggak mahal banget tapi ngga bisa dibilang murah juga sih. …",5.0,21/12/24 15.09
92,92,10,"Dulu awal” ke sini antri banget dan selalu waiting list, sekerang tempat agak luas dan bersih. Pelayanannya ramah lokasi juga gampang diakses. Rasa makanan enak, teruyama steam nasi daging sapi dan suka dengan chili oilnya.",5.0,04/04/25 10.22
93,93,10,"Kesini untuk makan siang. Waww antrii panjangg banget, tapi lumayan tertib ya antrinya. Setelah dapat meja, nunggu makannya juga lumayan lamaa :( Tapi overall enak enakk makanannyaa! Ingett kalau mau pake chili oil, pesen juga …",5.0,30/08/24 04.14
94,94,10,"Salah satu kuliner viral di blok M yang menurutku worth the hype. Waktu mampir ke sini kayaknya aku lagi beruntung karena nggak perlu antri lama, mungkin karena aku mampir ke sini waktu di jam-jam nanggung ya (sekitar jam 3 sore). …",5.0,16/02/25 15.29
95,95,10,"Kesini pagi jam 8, masih sepi. Makanan mayan cepet datengnya. Hakaw nya enak dan udangnya kerasa manis banget. …",3.0,28/03/25 14.48
96,96,10,"Lokasi dekat MRT Blok M dan dekat Taman Martha Tiahahu. Resto berada di lantai 2 dan 3. Datang di malam Sabtu dan waiting list walau hanya 15 menit. Aneka menu, selain dimsum ada bubur ayam, mie, dan nasi tim. Rasa masakan …",5.0,07/02/25 03.06
97,97,10,"Salah satu resto favorit kalo ke Blok M, Alhamdulillah tadi antriannya cuma sebentar (ambil antrian meja di bapak security depan tangga), kesitu hari Jumat jam 5 sore. Makan di lantai dua, dapat view ke arah taman literasi. Pemesanan …",3.0,29/05/25 03.55
98,98,10,"Waiting listnya lumayan lama, tapi semua terbayarkan dengan rasa makanannya. Paling suka dengan cakwe udang goreng enak banget, highly recommended. Xiao long bao ayam aku kurang bisa menikmati rasanya. Dan untuk main coursenya aku cobain …",5.0,01/02/25 20.30
99,99,10,"Selalu kesini lagi dan lagi. Enak untuk sarapan abis lari pagi, dinner yg gakmau berat-berat, sore iseng nyemil cocok banget lah ke sini. Favorite: Hakau, Siomay Udang Ayam, Lumpia Saus Tiram, Bolo Bun. Semua minuman suka 🤍 …",3.0,22/04/25 20.14
100,100,10,"Ga abis abis ya nemu tempat makan unik dan menarik dan tetap enak di Blok M. Ini ada tempat makan dimsum yang buka 24 jam! Kapan aja pingin makan dimsum, gas …",5.0,24/02/25 01.10
101,101,11,"Makanan no comment, enak semua rasa di atas rata-rata resto sushi yg ada di dalam Mall. Yang sangat disayangkan di resto sebesar dan seluas ini tidak ada fasilitas …",3.0,23/07/24 23.17
102,102,11,"Sudah hits dari awal kehadirannya, okuzono salah satu resto jepang favorit saya yang menyita perhatian melalui interiornya yang kental dengan suasana jepang. Beragam tipe tempat duduk bisa dipilih, kebanyakan menawarkan area private, baik …",5.0,17/04/25 15.58
103,103,11,"Selalu favorit makan di sini untuk lunch, karena deket dari kantor dan enak untuk jd meeting point.. Service selalu okay, pengetahuan waiter/waitress untuk menu sgt baik, paham dan …",4.0,14/09/24 05.19
104,104,11,Wahh bagus banget restorannya 😍 makanannya enak banget dan banyak pilihan 😚 pelayanan maksimal pakai kolmi paging system 🥰 …,5.0,01/06/25 21.21
105,105,11,Dear Okuzono Team 🙏 It was a great momment at Okuzono jl. Suryo 🙏 saya dan suami dining dapat wonderful service ❤️ …,4.0,25/03/25 03.04
106,106,11,"Salmon sashimi mentahnya fresh, tamago Yaki nya isi unagi enak banget. Tidak kecewa makan disini. Lebih bagus suasana nya kalo lunch untuk foto. Cuma parkir nya kecil. Disarankan pakai supir kalo kesini. Bawa mobil sndr susah cari parkir nya",5.0,10/08/24 03.53
107,107,11,IG @jessica_sisy @jktculinarydiary . Pas ke sini lunch time rame bgt. Better reserve sih. Makanannya ada ala carte …,5.0,10/07/25 02.02
108,108,11,"Areanya luas, interior unik dan ada ruang untuk meeting. Makanan, minuman enak, tersedia area Bar juga.",4.0,09/09/24 01.20
109,109,11,"Never failed with this place! Kesekian kali makan di sini, selalu enak fresh so comfort food! Pelayanannya sangat bagus, meski kadang kalau handled by trainee suka sekip.. …",4.0,18/11/24 15.46
110,110,11,"Ini adalah restoran Jepang dengan suasana yang cukup menarik. Meski agak gelap, tapi tetap elegan. Ada banyak pilihan tempat duduk di sini, bisa di dalam ruang kecil untuk berempat, bisa di meja biasa, di meja bar, atau bisa juga di depan …",3.0,09/06/25 07.49
111,111,12,Great service!! ❤️❤️❤️❤️❤️ Arigatou Mas Deden 🫶🏼 …,5.0,27/12/24 18.13
112,112,12,"bagi beef lovers harus datang cobain ke Yakiniku Great . Bener-bener dagingnya lembut kualitas premium paling bagus ,aromanya wangi . pokoknya enak the best menu-menu makanan disini . recommended 👍👌 …",3.0,27/10/24 23.49
113,113,12,JUARAAA!! dagingnya enak banget dan makanan lainnya juga enak. Good service from Mas Hasbi yang handle meja kita. Thank youuu,3.0,27/11/24 16.18
114,114,12,Enakkk banget semua makanan nyaa. Service nya jg bagus - terutama Mas Hasbi. ✨👍🏻 …,5.0,20/08/24 21.28
115,115,12,Semua makanannya enak. Kualitas dagingnya sangat bagus. Pelayanannya juga sangat baik.,4.0,12/08/24 00.31
116,116,12,Pertama kali cobain omakase disini baru buka sebulan. Banyak cabang di japan dll. Memuaskan sih dan kirain menunya dikit surprisingly kenyang ! Aku ambil paket OMAKASE MATSU. …,5.0,17/08/24 19.03
117,117,12,"お任せ omakase style yakiniku Omakase artinya terserah chef maunya gimana, and if you already surrender 🤭 means should be very very good …",5.0,17/08/24 20.36
118,118,12,Nyobain omakasenya disini enak banget. Mas Hasbi juga servicenya oke banget. Bakal balik lagi fix,5.0,14/07/25 18.26
119,119,12,"Makan malam terenak, di layani dengan kak tika pelayanan nya sangat baik dan memuaskan 👍 Amazing 😍 …",4.0,23/12/24 15.33
120,120,12,"Pelayanan nya bagus apalagi mba mentari sangat baik dan ramah, detail utk penjelasan setiap menu, menunya juga enak enak semua, pokoknya the best for yakiniku great...👍👍 …",3.0,30/10/24 20.14
121,121,13,"Jujur, aku agak kecewa kali ini karena menu yang kupesan tidak memenuhi ekspektasiku. …",4.0,21/03/25 14.24
122,122,13,"Dateng pas sangat kosong. Jam 3 sore. Staff sangat ramah, tempat sangat bersih. Suka! Toilet juga sgt bersih. Staff menjelaskan dengan baik tentang makanan. Dan banyak varian alkohol. Rasa makanan sesuai deskripsi. Jika harus datang lagi, …",4.0,28/01/25 05.17
123,123,13,"Awalnya ga kepikiran ada resto jepang baru yg interiornya lucu, karena penasaran akhirnya datang. …",4.0,26/01/25 13.14
124,124,13,Pesan Hiroshima Okomiyaki dengan isi soba dan pork. Enak rasanya dan porsinya besar bisa untuk sharing ber 2. Chicken namban nya juga juicy.,4.0,08/05/25 03.51
125,125,13,"Datang kesini karna lihat deket banget sama tempat SPA, tempatnya nyaman, pelayanan ok banget, untung banget pas datang lagi ujan dan tempatnya gak bikin kedinginan. …",4.0,22/01/25 22.06
126,126,13,"So far tempatnya nyaman terus menunya enak, authentic japanese. Wajib coba sih okonomiyakinya ya",5.0,31/08/24 12.47
127,127,13,"Makanan nya enak semua Sashimi ,Yakitori ,Okonimiyaki enak bangett Suasana resto nyaman ngga krodit ,cocok buat makan bareng keluarga dan temen …",3.0,28/02/25 10.54
128,128,13,"Hari ini cobain Okonomiyaki & Inaba yang set include rice and miso soup. Okonomiyaki ya enak flavor manis and gurihnya balance, Inaba juga ok ayamnya lebih ke gurih asin tapi di mix sama nasi jadi balance, cuma miso soup nya asin banget, minta air panas buat balancing. Overall ok koq.",4.0,30/09/24 17.20
129,129,13,"Makanan sangat worth it untuk dicoba, dengan pelayanan yang sangat bagus! 👍 …",4.0,02/03/25 07.39
130,130,13,Akhirnya kesampean nyobain hiroshima okonomiyaki dan ternyata lebih enak dari okonomiyaki biasa 😁 tempatnya cozy & pelayanannya juga oke banget. Must try! …,4.0,19/06/25 05.55
131,131,14,Keren.. di toiletnya menyediakan pembalut dll. Utk makanannya ok la.,4.0,18/08/24 04.26
